1	1377	1	24.55
1	880	1	9.24
1	75	1	14.33
2	1002	2	29.26
2	989	1	9.87
2	1277	1	24.66
2	1173	3	43.32
2	126	4	42.36
2	293	5	102.50
2	147	5	102.25
3	633	2	18.50
3	439	5	74.55
3	1198	2	47.66
3	929	2	22.86
3	1062	4	23.32
4	1098	2	49.38
4	1109	4	102.36
4	1119	3	30.18
4	903	1	15.45
4	1289	1	14.32
4	373	5	75.40
4	981	1	20.49
5	941	3	77.22
5	130	4	67.36
5	1197	4	20.56
5	527	2	38.56
5	1151	5	91.85
5	141	1	25.56
5	558	3	59.31
5	1423	4	92.64
5	1229	1	9.58
5	1255	4	44.76
6	672	4	69.88
6	1424	1	25.63
6	1125	4	65.80
6	1235	5	122.30
6	197	1	16.73
7	193	1	21.41
7	1268	3	27.24
7	734	4	70.16
7	1339	4	36.36
8	83	3	42.93
8	714	1	16.30
8	601	3	41.49
8	17	3	47.94
8	1428	2	24.98
8	688	4	94.64
8	624	5	45.35
8	815	3	40.23
8	1036	1	11.30
8	638	1	8.65
9	1048	3	68.85
9	1013	4	100.80
9	1423	3	69.48
9	1176	4	51.40
9	146	2	44.82
9	848	2	27.14
9	1410	5	41.80
10	124	3	36.18
10	666	4	35.84
11	1290	4	43.40
12	231	2	46.88
12	1255	5	55.95
12	177	3	70.20
12	759	4	59.48
12	468	2	28.20
13	1321	3	77.13
13	1419	3	60.72
13	1112	3	76.26
13	774	3	61.20
13	142	4	71.12
13	237	4	78.48
13	626	5	112.90
13	951	5	91.20
14	583	5	86.70
14	580	4	78.48
14	263	2	23.52
14	1	3	21.33
14	1219	2	34.34
15	901	3	47.88
15	714	1	16.30
15	1097	5	93.50
15	1220	4	97.20
15	306	2	46.48
15	1116	2	21.38
16	949	3	35.76
16	851	4	95.40
16	1016	3	36.18
17	148	1	24.27
17	999	3	24.90
17	39	1	19.79
17	690	3	77.70
17	508	4	49.56
18	334	2	43.86
18	532	4	96.16
18	33	3	40.29
18	1207	2	43.60
18	251	5	82.50
18	1289	1	14.32
18	541	5	78.10
19	82	2	18.22
19	731	2	36.20
19	310	5	126.95
19	458	5	126.55
19	1240	3	71.58
19	387	1	19.61
20	296	1	17.98
20	30	4	69.48
20	680	4	78.12
20	302	5	61.20
20	763	4	24.28
20	515	1	21.26
20	540	3	34.29
20	992	2	34.36
20	1357	2	26.56
20	526	2	22.84
21	1285	4	47.76
21	458	1	25.31
21	1204	3	27.90
21	1207	5	109.00
21	190	3	18.42
21	1132	5	41.00
21	859	3	75.15
22	623	3	69.78
22	66	2	14.46
22	1295	3	19.50
22	388	3	20.70
22	913	3	66.12
22	1242	3	70.53
22	578	4	89.20
22	1094	4	97.48
22	1076	5	106.70
23	377	1	9.13
23	1380	1	21.36
23	1426	3	58.86
23	420	1	13.25
23	651	4	67.92
23	931	2	19.76
23	1089	5	65.20
23	621	2	46.60
23	271	1	13.89
24	705	4	98.72
24	649	1	25.16
24	977	4	48.24
24	1407	4	88.40
24	1173	5	72.20
24	605	4	56.28
24	1342	3	37.23
24	318	5	95.35
24	742	4	39.44
24	698	1	16.93
25	67	2	32.50
25	1416	1	22.48
25	144	5	77.55
25	1376	5	120.50
25	717	5	107.95
25	473	2	42.24
25	308	5	59.40
25	643	5	56.50
25	1417	5	101.40
25	194	4	101.40
26	252	5	74.60
26	960	5	70.35
26	15	4	44.88
27	819	1	19.26
27	533	5	82.15
27	1292	2	17.24
27	272	5	128.00
27	1404	4	63.16
27	948	4	92.52
28	1035	4	81.76
28	675	3	50.43
28	995	4	34.00
28	617	2	12.44
28	1181	1	19.77
28	416	3	46.83
28	786	4	45.68
28	684	2	50.60
28	368	5	41.60
28	1139	2	11.64
29	301	4	48.88
29	1411	2	25.70
29	1415	5	84.55
29	532	1	24.40
29	325	2	28.78
29	1083	5	94.85
