1	231	68	995.52	TRUE
1	1357	49	367.50	TRUE
1	517	20	130.00	TRUE
1	1010	52	104.52	TRUE
1	1234	46	228.62	TRUE
1	972	50	213.00	TRUE
1	1030	45	269.10	TRUE
1	1081	36	73.44	TRUE
1	898	38	353.40	TRUE
1	453	49	465.50	TRUE
1	662	52	586.56	TRUE
1	1204	30	71.10	TRUE
1	378	47	606.30	TRUE
1	376	46	401.58	TRUE
1	94	50	227.50	TRUE
1	1227	50	933.00	TRUE
1	407	46	355.12	TRUE
1	1212	42	327.18	TRUE
1	122	45	364.95	TRUE
1	1199	26	183.56	TRUE
1	1108	31	301.32	TRUE
1	502	34	230.18	TRUE
1	643	46	80.96	TRUE
1	781	45	272.25	TRUE
1	689	45	751.50	TRUE
1	812	36	252.36	TRUE
1	641	51	712.98	TRUE
1	385	34	381.14	TRUE
1	512	60	145.20	TRUE
1	532	31	196.23	TRUE
1	1238	20	84.40	TRUE
1	457	22	130.24	TRUE
1	425	36	438.84	TRUE
1	1185	23	121.21	TRUE
1	1009	25	49.00	TRUE
1	133	31	139.50	TRUE
1	934	17	171.87	TRUE
1	1036	33	240.24	TRUE
1	473	19	46.36	TRUE
1	1090	5	14.65	TRUE
1	758	1	6.99	TRUE
1	367	5	15.50	TRUE
1	626	6	54.12	TRUE
1	654	14	145.88	TRUE
1	1300	5	22.40	TRUE
1	560	11	146.80	TRUE
1	436	5	23.50	TRUE
1	1059	4	19.92	TRUE
1	224	2	2.82	TRUE
2	1009	6	11.76	TRUE
2	626	10	90.20	TRUE
2	641	5	69.90	TRUE
2	94	9	40.95	TRUE
2	367	5	15.50	TRUE
2	231	11	161.40	TRUE
2	1030	5	29.90	TRUE
2	1357	14	105.00	TRUE
2	1227	5	93.30	TRUE
2	1059	7	34.86	TRUE
2	643	10	17.60	TRUE
2	224	7	9.87	TRUE
2	512	13	31.46	TRUE
2	1036	4	29.12	TRUE
2	629	2	35.62	TRUE
2	1010	6	12.60	TRUE
2	1300	11	49.28	TRUE
2	1081	3	6.12	TRUE
2	1238	9	37.98	TRUE
2	649	9	54.90	TRUE
2	385	9	100.89	TRUE
2	376	2	17.46	TRUE
2	122	4	32.44	TRUE
2	710	4	16.16	TRUE
2	781	8	48.40	TRUE
2	885	10	18.20	TRUE
2	1204	8	18.96	TRUE
2	502	11	74.47	TRUE
2	969	1	4.73	TRUE
2	662	5	56.40	TRUE
2	1199	4	28.24	TRUE
2	1234	4	19.88	TRUE
2	1108	2	19.44	TRUE
2	473	9	21.96	TRUE
2	517	10	65.00	TRUE
2	1212	14	109.60	TRUE
2	554	3	48.54	TRUE
2	425	5	60.95	TRUE
2	1064	9	97.83	TRUE
2	453	5	47.50	TRUE
2	407	4	30.88	TRUE
2	758	1	6.99	TRUE
2	1106	5	38.80	TRUE
2	532	4	25.32	TRUE
2	934	4	40.44	TRUE
2	560	1	13.28	TRUE
3	1238	4	16.88	TRUE
3	1234	12	59.64	TRUE
4	1227	8	149.28	TRUE
4	1212	15	116.85	TRUE
4	1204	2	4.74	TRUE
4	1199	7	49.42	TRUE
4	1185	6	31.62	TRUE
4	1108	6	58.32	TRUE
4	1106	4	31.40	TRUE
4	1090	3	8.79	TRUE
4	1081	3	6.12	TRUE
4	1064	9	97.83	TRUE
